algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,intersection,googleplay,glove,11.0,22.0,32.0,39.0,44.0,0.44170645561622984,2.1669559478759766,1974.0
atm_0,craftdroid,googleplay,glove,10.0,29.0,35.0,38.0,42.0,0.4700861051542442,6.015652894973755,4804.0
atm_0,atm,googleplay,glove,14.0,29.0,38.0,41.0,49.0,0.49812632542895685,4.165594100952148,2129.0
craftdroid,union,android,fast,7.0,19.0,30.0,40.0,43.0,0.3986897031539888,12.237695455551147,385.0
craftdroid,intersection,android,fast,15.0,27.0,36.0,44.0,45.0,0.5066459422234192,1.87162446975708,372.0
craftdroid,craftdroid,android,fast,8.0,19.0,30.0,40.0,44.0,0.4123441043083899,2.907778739929199,373.0
craftdroid,atm,android,fast,15.0,28.0,36.0,44.0,45.0,0.5026126243508157,2.367201805114746,384.0
custom,union,android,fast,13.0,33.0,39.0,46.0,47.0,0.5013098508634223,4.339742660522461,1659.0
custom,intersection,android,fast,15.0,29.0,38.0,44.0,45.0,0.510770344667127,3.341036558151245,739.0
custom,craftdroid,android,fast,16.0,30.0,39.0,44.0,44.0,0.5235339378666446,5.0255913734436035,1420.0
custom,atm,android,fast,17.0,27.0,43.0,46.0,47.0,0.5317901840223267,3.3693604469299316,888.0
atm_0,union,android,fast,12.0,25.0,32.0,41.0,44.0,0.46641494981831105,8.053479671478271,1529.0
atm_0,intersection,android,fast,13.0,23.0,31.0,37.0,39.0,0.4468468498332153,2.308257818222046,743.0
atm_0,craftdroid,android,fast,12.0,24.0,31.0,40.0,42.0,0.4603214897069939,5.550697088241577,1432.0
atm_0,atm,android,fast,13.0,27.0,31.0,38.0,40.0,0.46140518413184706,4.940641641616821,806.0
craftdroid,union,blogs,fast,8.0,20.0,29.0,34.0,35.0,0.38938719826048435,42.930957555770874,0.0
craftdroid,intersection,blogs,fast,10.0,22.0,29.0,36.0,37.0,0.41592553040385355,2.2688000202178955,0.0
craftdroid,craftdroid,blogs,fast,8.0,20.0,30.0,34.0,35.0,0.39515867351725376,2.923222780227661,0.0
craftdroid,atm,blogs,fast,11.0,23.0,31.0,37.0,38.0,0.4242434030074405,1.8561983108520508,0.0
custom,union,blogs,fast,14.0,28.0,36.0,43.0,50.0,0.4948277417027415,4.375729322433472,0.0
custom,intersection,blogs,fast,12.0,24.0,33.0,37.0,37.0,0.44415730979751306,3.874307870864868,0.0
custom,craftdroid,blogs,fast,14.0,24.0,35.0,42.0,49.0,0.48830215575986236,4.1399924755096436,0.0
custom,atm,blogs,fast,13.0,29.0,35.0,40.0,44.0,0.47402047086368176,3.372544050216675,0.0
atm_0,union,blogs,fast,13.0,27.0,37.0,38.0,42.0,0.48639818786877603,8.146247148513794,0.0
atm_0,intersection,blogs,fast,15.0,27.0,34.0,41.0,42.0,0.48861647594260355,2.288451671600342,0.0
atm_0,craftdroid,blogs,fast,13.0,27.0,37.0,38.0,42.0,0.4868446164402046,6.35732364654541,0.0
atm_0,atm,blogs,fast,19.0,36.0,40.0,45.0,46.0,0.566353469525462,4.310741186141968,0.0
craftdroid,union,googleplay,fast,10.0,19.0,27.0,37.0,39.0,0.413991113991114,37.353689670562744,0.0
craftdroid,intersection,googleplay,fast,16.0,30.0,35.0,43.0,43.0,0.5238784219919012,2.0698814392089844,0.0
craftdroid,craftdroid,googleplay,fast,9.0,20.0,28.0,37.0,39.0,0.4148839711339711,3.0239064693450928,0.0
craftdroid,atm,googleplay,fast,17.0,31.0,36.0,43.0,43.0,0.5294906668898605,1.86063551902771,0.0
custom,union,googleplay,fast,18.0,36.0,42.0,46.0,47.0,0.5617913832199546,4.739447355270386,0.0
custom,intersection,googleplay,fast,13.0,29.0,38.0,43.0,43.0,0.4976774042950512,4.801357984542847,0.0
custom,craftdroid,googleplay,fast,16.0,30.0,40.0,43.0,44.0,0.5321447219238571,4.172535419464111,0.0
custom,atm,googleplay,fast,13.0,30.0,44.0,47.0,50.0,0.5105033680138721,3.3483922481536865,0.0
atm_0,union,googleplay,fast,15.0,28.0,36.0,39.0,42.0,0.5083845470006184,8.063005447387695,0.0
atm_0,intersection,googleplay,fast,15.0,26.0,34.0,39.0,43.0,0.49204175988577237,2.3518123626708984,0.0
atm_0,craftdroid,googleplay,fast,15.0,28.0,36.0,39.0,42.0,0.5086325628736342,6.475672960281372,0.0
atm_0,atm,googleplay,fast,15.0,31.0,36.0,41.0,45.0,0.5047808706816059,4.611630916595459,0.0
craftdroid,union,empty,jaccard,6.0,21.0,32.0,36.0,36.0,0.3862007822613528,2.2719485759735107,1723.0
craftdroid,intersection,empty,jaccard,5.0,19.0,32.0,34.0,38.0,0.3785408745297016,1.8114597797393799,1535.0
craftdroid,craftdroid,empty,jaccard,5.0,20.0,34.0,36.0,37.0,0.3841304669557433,2.5190682411193848,1713.0
craftdroid,atm,empty,jaccard,5.0,19.0,32.0,34.0,38.0,0.3785408745297016,1.4925692081451416,1545.0
custom,union,empty,jaccard,14.0,33.0,38.0,45.0,47.0,0.5281246997978173,2.812932252883911,0.0
custom,intersection,empty,jaccard,9.0,25.0,38.0,42.0,43.0,0.46447654659332743,2.8431499004364014,1504.0
custom,craftdroid,empty,jaccard,15.0,30.0,44.0,45.0,46.0,0.5404887189985711,3.174873113632202,0.0
custom,atm,empty,jaccard,10.0,27.0,40.0,41.0,44.0,0.4812769261654461,3.0112528800964355,1489.0
atm_0,union,empty,jaccard,9.0,25.0,39.0,45.0,46.0,0.4765713453213453,6.1033782958984375,4648.0
atm_0,intersection,empty,jaccard,8.0,26.0,38.0,42.0,43.0,0.46030987992666084,1.522036075592041,6436.0
atm_0,craftdroid,empty,jaccard,11.0,26.0,39.0,45.0,46.0,0.4974046786546787,4.316425323486328,4673.0
atm_0,atm,empty,jaccard,9.0,27.0,39.0,41.0,44.0,0.47447420507701077,3.3859362602233887,6426.0
craftdroid,union,empty,edit_distance,6.0,23.0,32.0,37.0,37.0,0.39274325041318114,3.019596815109253,7976.0
craftdroid,intersection,empty,edit_distance,11.0,29.0,34.0,42.0,42.0,0.46224120311015804,2.165198564529419,3045.0
craftdroid,craftdroid,empty,edit_distance,6.0,23.0,33.0,38.0,38.0,0.3985397356739521,3.5490379333496094,7962.0
craftdroid,atm,empty,edit_distance,12.0,28.0,36.0,42.0,42.0,0.4687037881441717,1.961848497390747,3059.0
custom,union,empty,edit_distance,17.0,32.0,40.0,43.0,44.0,0.5337473743415863,5.45103907585144,25660.0
custom,intersection,empty,edit_distance,14.0,31.0,38.0,42.0,42.0,0.49808925246429236,4.138248443603516,6627.0
custom,craftdroid,empty,edit_distance,15.0,31.0,37.0,41.0,42.0,0.511620781479561,5.3159356117248535,23602.0
custom,atm,empty,edit_distance,17.0,33.0,41.0,44.0,48.0,0.5449412984446277,3.902573823928833,7885.0
atm_0,union,empty,edit_distance,9.0,24.0,35.0,39.0,41.0,0.43032212309319245,8.936566829681396,25311.0
atm_0,intersection,empty,edit_distance,14.0,29.0,38.0,43.0,43.0,0.4976298603741229,2.588629961013794,6649.0
atm_0,craftdroid,empty,edit_distance,9.0,24.0,35.0,39.0,40.0,0.42937966277573214,7.081693649291992,23752.0
atm_0,atm,empty,edit_distance,17.0,31.0,37.0,45.0,48.0,0.5368756683464345,4.655628681182861,7651.0
