algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,atm,standard,w2v,3.0,5.0,8.0,9.0,9.0,0.2156405660379958,6.636654853820801,58326.0
atm_0,union,standard,w2v,2.0,4.0,8.0,11.0,11.0,0.19905139698704494,16.99677276611328,220964.0
atm_0,intersection,standard,w2v,0.0,7.0,7.0,7.0,7.0,0.16481909516995982,5.213967561721802,58326.0
atm_0,craftdroid,standard,w2v,2.0,4.0,8.0,11.0,11.0,0.19905139698704494,14.098684310913086,220964.0
atm_0,atm,standard,w2v,0.0,7.0,7.0,7.0,7.0,0.16481909516995982,8.289068460464478,58326.0
craftdroid,union,googleplay,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,26.236644506454468,60853.0
craftdroid,intersection,googleplay,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.246065139770508,27531.0
craftdroid,craftdroid,googleplay,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.487957954406738,60853.0
craftdroid,atm,googleplay,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.29671049118042,27531.0
custom,union,googleplay,w2v,2.0,5.0,7.0,9.0,10.0,0.2054995529851334,12.051191568374634,133187.0
custom,intersection,googleplay,w2v,3.0,7.0,9.0,9.0,9.0,0.230218479877817,6.154277324676514,33659.0
custom,craftdroid,googleplay,w2v,2.0,5.0,7.0,9.0,10.0,0.2054995529851334,11.969942331314087,133187.0
custom,atm,googleplay,w2v,3.0,7.0,9.0,9.0,9.0,0.230218479877817,6.526081323623657,33659.0
atm_0,union,googleplay,w2v,2.0,3.0,3.0,5.0,7.0,0.1554518141664373,17.863083839416504,133187.0
atm_0,intersection,googleplay,w2v,0.0,1.0,4.0,4.0,4.0,0.09962989626667233,4.614638805389404,33659.0
atm_0,craftdroid,googleplay,w2v,2.0,3.0,3.0,5.0,7.0,0.1554518141664373,14.363122940063477,133187.0
atm_0,atm,googleplay,w2v,0.0,1.0,4.0,4.0,4.0,0.09962989626667233,8.278058767318726,33659.0
craftdroid,union,standard,nnlm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,15.890375137329102,212.0
craftdroid,intersection,standard,nnlm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.829047679901123,212.0
craftdroid,craftdroid,standard,nnlm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,12.061888217926025,212.0
craftdroid,atm,standard,nnlm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.370271444320679,212.0
custom,union,standard,nnlm,4.0,5.0,9.0,10.0,12.0,0.24720651375217093,9.052445411682129,0.0
custom,intersection,standard,nnlm,3.0,4.0,7.0,9.0,9.0,0.20457127069625464,8.700836658477783,465.0
custom,craftdroid,standard,nnlm,4.0,5.0,9.0,10.0,12.0,0.24720651375217093,13.970609664916992,0.0
custom,atm,standard,nnlm,3.0,4.0,7.0,9.0,9.0,0.20457127069625464,8.941015720367432,465.0
atm_0,union,standard,nnlm,0.0,5.0,9.0,10.0,10.0,0.20079115208939124,29.218572854995728,1294.0
atm_0,intersection,standard,nnlm,4.0,7.0,9.0,9.0,9.0,0.24262079565142938,14.703599691390991,5717.0
atm_0,craftdroid,standard,nnlm,0.0,5.0,9.0,10.0,10.0,0.20079115208939124,24.443705558776855,1294.0
atm_0,atm,standard,nnlm,4.0,7.0,9.0,9.0,9.0,0.24262079565142938,18.71698522567749,5717.0
craftdroid,union,standard,use,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,37.42668652534485,46.0
craftdroid,intersection,standard,use,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,14.572824001312256,46.0
craftdroid,craftdroid,standard,use,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,27.773396015167236,46.0
craftdroid,atm,standard,use,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,15.033770084381104,46.0
custom,union,standard,use,4.0,5.0,8.0,10.0,10.0,0.24394296594235776,17.297816276550293,1.0
custom,intersection,standard,use,4.0,5.0,8.0,8.0,10.0,0.23512270937082966,17.21010684967041,476.0
custom,craftdroid,standard,use,4.0,5.0,8.0,10.0,10.0,0.24394296594235776,20.662410974502563,1.0
custom,atm,standard,use,4.0,5.0,8.0,8.0,10.0,0.23512270937082966,15.61670184135437,476.0
atm_0,union,standard,use,2.0,6.0,9.0,10.0,10.0,0.24017456923269728,56.499011754989624,1153.0
atm_0,intersection,standard,use,5.0,6.0,8.0,8.0,8.0,0.2517879931575904,35.253843784332275,4856.0
atm_0,craftdroid,standard,use,2.0,6.0,9.0,10.0,10.0,0.24017456923269728,51.874324560165405,1153.0
atm_0,atm,standard,use,5.0,6.0,8.0,8.0,8.0,0.2517879931575904,40.35535979270935,4856.0
craftdroid,union,android,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.564303874969482,136523.0
craftdroid,intersection,android,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,2.8792641162872314,63974.0
craftdroid,craftdroid,android,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.913938283920288,136523.0
craftdroid,atm,android,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,2.890223741531372,63974.0
custom,union,android,glove,3.0,5.0,9.0,11.0,11.0,0.23656817450925485,10.456908464431763,314243.0
custom,intersection,android,glove,2.0,6.0,8.0,8.0,8.0,0.2055948262587783,5.756749153137207,83628.0
custom,craftdroid,android,glove,3.0,5.0,9.0,11.0,11.0,0.23656817450925485,9.955434083938599,314243.0
custom,atm,android,glove,2.0,6.0,8.0,8.0,8.0,0.2055948262587783,7.213080167770386,83628.0
atm_0,union,android,glove,2.0,4.0,6.0,7.0,7.0,0.18469577755107142,15.71266794204712,314243.0
atm_0,intersection,android,glove,0.0,4.0,5.0,6.0,6.0,0.13803986486365463,4.660179853439331,83628.0
atm_0,craftdroid,android,glove,2.0,4.0,6.0,7.0,7.0,0.18469577755107142,12.85074758529663,314243.0
atm_0,atm,android,glove,0.0,4.0,5.0,6.0,6.0,0.13803986486365463,7.054128646850586,83628.0
craftdroid,union,blogs,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,11.525292873382568,97234.0
craftdroid,intersection,blogs,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.226223945617676,46151.0
craftdroid,craftdroid,blogs,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.6184916496276855,97234.0
craftdroid,atm,blogs,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,2.939210891723633,46151.0
custom,union,blogs,glove,2.0,3.0,6.0,9.0,9.0,0.18556270083379173,10.290981531143188,219526.0
