algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,craftdroid,blogs,w2v,113.0,159.0,185.0,192.0,201.0,0.7026653713305299,20.53264093399048,23371.0
atm_0,atm,blogs,w2v,130.0,193.0,205.0,211.0,213.0,0.7764090071177765,15.371193647384644,6270.0
craftdroid,union,standard,w2v,145.0,189.0,199.0,204.0,210.0,0.7960269808120484,63.82009768486023,12855.0
craftdroid,intersection,standard,w2v,147.0,190.0,203.0,209.0,213.0,0.8166254497136851,6.397747755050659,3619.0
craftdroid,craftdroid,standard,w2v,135.0,188.0,199.0,204.0,210.0,0.7801970590997742,10.11153769493103,12819.0
craftdroid,atm,standard,w2v,158.0,194.0,204.0,209.0,213.0,0.8372136850078026,6.974272727966309,3655.0
custom,union,standard,w2v,144.0,195.0,203.0,207.0,212.0,0.800828235280526,17.61679482460022,55940.0
custom,intersection,standard,w2v,147.0,196.0,205.0,211.0,215.0,0.8226712819122687,12.297922134399414,14008.0
custom,craftdroid,standard,w2v,136.0,197.0,206.0,209.0,213.0,0.8000220153566591,17.249480485916138,50929.0
custom,atm,standard,w2v,152.0,200.0,205.0,213.0,215.0,0.8272010342598578,12.706421852111816,15876.0
atm_0,union,standard,w2v,117.0,166.0,191.0,198.0,202.0,0.7169163283595297,27.952114820480347,54289.0
atm_0,intersection,standard,w2v,140.0,192.0,206.0,209.0,215.0,0.8048940699379883,9.455297708511353,14320.0
atm_0,craftdroid,standard,w2v,113.0,165.0,189.0,194.0,200.0,0.7083474964875301,22.238245725631714,51468.0
atm_0,atm,standard,w2v,144.0,193.0,203.0,209.0,215.0,0.8079358650093742,16.174411058425903,15604.0
craftdroid,union,googleplay,w2v,146.0,190.0,203.0,206.0,212.0,0.8020858226740578,30.809419870376587,6317.0
craftdroid,intersection,googleplay,w2v,146.0,199.0,208.0,214.0,216.0,0.8271600948071536,6.183605194091797,262.0
craftdroid,craftdroid,googleplay,w2v,137.0,188.0,202.0,205.0,212.0,0.7872039724980902,10.035895586013794,6317.0
craftdroid,atm,googleplay,w2v,155.0,202.0,209.0,215.0,216.0,0.8427960927960926,6.945937156677246,262.0
custom,union,googleplay,w2v,152.0,196.0,205.0,214.0,216.0,0.8251203045320691,16.464357376098633,15598.0
custom,intersection,googleplay,w2v,147.0,198.0,212.0,215.0,218.0,0.831462328521152,12.054993629455566,1368.0
custom,craftdroid,googleplay,w2v,139.0,200.0,208.0,217.0,218.0,0.8141672053436757,16.959720611572266,14974.0
custom,atm,googleplay,w2v,154.0,203.0,213.0,217.0,218.0,0.8404869640163757,13.6288001537323,1468.0
atm_0,union,googleplay,w2v,105.0,152.0,184.0,197.0,204.0,0.6790837726758233,26.75765824317932,15187.0
atm_0,intersection,googleplay,w2v,136.0,195.0,209.0,210.0,213.0,0.8009112415293578,8.860556602478027,1396.0
atm_0,craftdroid,googleplay,w2v,112.0,160.0,185.0,194.0,204.0,0.7026145841756705,20.37243127822876,15030.0
atm_0,atm,googleplay,w2v,134.0,189.0,204.0,212.0,213.0,0.7841912803331493,16.12332034111023,1436.0
craftdroid,union,standard,nnlm,139.0,186.0,198.0,203.0,210.0,0.7761423217305566,33.53961515426636,345.0
craftdroid,intersection,standard,nnlm,147.0,194.0,202.0,207.0,214.0,0.8157012377600614,15.244458198547363,320.0
craftdroid,craftdroid,standard,nnlm,134.0,185.0,199.0,203.0,210.0,0.7726490829432007,28.323720693588257,336.0
craftdroid,atm,standard,nnlm,152.0,196.0,202.0,207.0,214.0,0.8248407910172617,16.488651990890503,329.0
custom,union,standard,nnlm,166.0,191.0,199.0,205.0,211.0,0.8398866499262427,22.727524757385254,5.0
custom,intersection,standard,nnlm,158.0,193.0,203.0,208.0,212.0,0.8350281312810905,22.861093282699585,437.0
custom,craftdroid,standard,nnlm,161.0,192.0,199.0,206.0,211.0,0.8387637371821964,22.45513653755188,5.0
custom,atm,standard,nnlm,163.0,195.0,203.0,208.0,213.0,0.8392138148785391,22.35759925842285,410.0
atm_0,union,standard,nnlm,120.0,179.0,199.0,208.0,210.0,0.7462926797568806,74.42034029960632,3386.0
atm_0,intersection,standard,nnlm,146.0,192.0,204.0,208.0,212.0,0.8175492807845752,42.09942078590393,8802.0
atm_0,craftdroid,standard,nnlm,126.0,181.0,201.0,206.0,210.0,0.7599463463517239,59.142226457595825,3392.0
atm_0,atm,standard,nnlm,156.0,188.0,202.0,206.0,211.0,0.8263180047176244,50.372758865356445,8781.0
craftdroid,union,standard,use,149.0,187.0,204.0,210.0,213.0,0.8050862450243254,77.64033603668213,151.0
craftdroid,intersection,standard,use,151.0,193.0,206.0,208.0,217.0,0.8275413814440964,31.69050645828247,139.0
craftdroid,craftdroid,standard,use,139.0,188.0,203.0,207.0,213.0,0.7901110241667517,64.82686829566956,151.0
craftdroid,atm,standard,use,160.0,195.0,208.0,211.0,217.0,0.8426997524848204,33.19466805458069,139.0
custom,union,standard,use,162.0,194.0,203.0,208.0,211.0,0.8360681801858272,41.3250367641449,81.0
custom,intersection,standard,use,157.0,195.0,207.0,210.0,216.0,0.8366721639346072,40.910139083862305,662.0
custom,craftdroid,standard,use,159.0,196.0,206.0,210.0,213.0,0.8419358670489888,40.73441958427429,90.0
custom,atm,standard,use,169.0,196.0,207.0,211.0,216.0,0.855733675768067,40.91657257080078,678.0
atm_0,union,standard,use,152.0,185.0,204.0,211.0,213.0,0.8180603791906176,138.0158336162567,1852.0
atm_0,intersection,standard,use,148.0,187.0,209.0,212.0,214.0,0.8210119945414069,98.12016677856445,5187.0
atm_0,craftdroid,standard,use,141.0,176.0,204.0,209.0,213.0,0.7876825870481198,126.07273769378662,1814.0
atm_0,atm,standard,use,162.0,193.0,209.0,212.0,214.0,0.8501857121292248,107.22533941268921,5307.0
craftdroid,union,android,glove,133.0,186.0,204.0,206.0,212.0,0.7715677296559648,10.998720645904541,32747.0
craftdroid,intersection,android,glove,146.0,193.0,210.0,214.0,217.0,0.8254281883693649,6.579422950744629,8907.0
craftdroid,craftdroid,android,glove,124.0,187.0,204.0,206.0,212.0,0.7606146304675716,8.847642421722412,32640.0
craftdroid,atm,android,glove,150.0,195.0,212.0,214.0,217.0,0.8324669012904308,6.84736967086792,9014.0
custom,union,android,glove,141.0,183.0,202.0,210.0,215.0,0.7899856823299736,15.501967668533325,120149.0
custom,intersection,android,glove,146.0,199.0,211.0,214.0,216.0,0.8305404562757505,11.531772136688232,32024.0
custom,craftdroid,android,glove,131.0,192.0,205.0,211.0,216.0,0.7899637127578305,15.443465948104858,109519.0
custom,atm,android,glove,153.0,199.0,210.0,213.0,216.0,0.8333310394455907,11.949007511138916,37195.0
atm_0,union,android,glove,122.0,169.0,190.0,198.0,207.0,0.7316761051373888,26.204397439956665,117416.0
atm_0,intersection,android,glove,144.0,198.0,212.0,212.0,215.0,0.8255250029005686,7.903899908065796,32828.0
atm_0,craftdroid,android,glove,115.0,166.0,188.0,192.0,205.0,0.7152515268241819,20.122897148132324,110781.0
atm_0,atm,android,glove,147.0,198.0,207.0,212.0,215.0,0.8232852868599475,15.042755842208862,36419.0
craftdroid,union,blogs,glove,146.0,192.0,202.0,206.0,211.0,0.8035271831711459,15.685476064682007,17451.0
craftdroid,intersection,blogs,glove,148.0,196.0,206.0,211.0,215.0,0.8276071423130246,6.044851779937744,3752.0
craftdroid,craftdroid,blogs,glove,136.0,191.0,201.0,204.0,211.0,0.7881174295260981,9.79600214958191,17417.0
craftdroid,atm,blogs,glove,154.0,199.0,207.0,213.0,215.0,0.840000304706187,10.835221290588379,3786.0
custom,union,blogs,glove,143.0,196.0,209.0,214.0,216.0,0.8067027994629806,15.759005069732666,60024.0
custom,intersection,blogs,glove,146.0,199.0,210.0,217.0,219.0,0.8311630635160046,11.797745943069458,15510.0
custom,craftdroid,blogs,glove,132.0,197.0,210.0,213.0,215.0,0.7969940441659896,16.389950275421143,56057.0
custom,atm,blogs,glove,153.0,203.0,209.0,216.0,217.0,0.8356970915794445,12.340273141860962,17323.0
atm_0,union,blogs,glove,111.0,160.0,189.0,197.0,204.0,0.7001945069788781,26.35563588142395,58815.0
atm_0,intersection,blogs,glove,144.0,196.0,207.0,209.0,215.0,0.8199550480941885,8.178337097167969,15803.0
atm_0,craftdroid,blogs,glove,116.0,167.0,188.0,195.0,203.0,0.7173301187532688,20.477075815200806,56479.0
atm_0,atm,blogs,glove,140.0,196.0,207.0,211.0,214.0,0.8036848164786886,15.486713647842407,17126.0
craftdroid,union,standard,glove,143.0,189.0,200.0,206.0,210.0,0.7918347993902655,24.76765513420105,22006.0
craftdroid,intersection,standard,glove,152.0,196.0,207.0,211.0,213.0,0.833264146612563,6.505376815795898,4378.0
craftdroid,craftdroid,standard,glove,134.0,187.0,200.0,207.0,210.0,0.777348876816108,9.69872498512268,21920.0
craftdroid,atm,standard,glove,155.0,199.0,207.0,211.0,213.0,0.8396806875879271,6.209622383117676,4464.0
custom,union,standard,glove,147.0,192.0,205.0,212.0,215.0,0.8097527472527473,16.309127807617188,66570.0
custom,intersection,standard,glove,142.0,195.0,205.0,211.0,213.0,0.8118221647633412,11.856295108795166,15358.0
custom,craftdroid,standard,glove,136.0,193.0,206.0,214.0,216.0,0.7977564102564101,15.337247610092163,61478.0
custom,atm,standard,glove,150.0,198.0,207.0,210.0,214.0,0.8209635136105724,12.121501922607422,17635.0
atm_0,union,standard,glove,112.0,156.0,184.0,198.0,206.0,0.6977836071518244,26.31775736808777,64243.0
atm_0,intersection,standard,glove,144.0,193.0,206.0,208.0,213.0,0.8141207351193673,9.809125661849976,15596.0
atm_0,craftdroid,standard,glove,114.0,160.0,182.0,195.0,204.0,0.705228301925442,20.39822745323181,61944.0
atm_0,atm,standard,glove,143.0,193.0,203.0,210.0,214.0,0.8057876423004345,15.286032438278198,16923.0
craftdroid,union,googleplay,glove,140.0,189.0,199.0,204.0,212.0,0.7849160078232474,16.214396715164185,11296.0
craftdroid,intersection,googleplay,glove,143.0,194.0,204.0,209.0,212.0,0.8111576583296041,6.670439004898071,3110.0
craftdroid,craftdroid,googleplay,glove,132.0,187.0,199.0,205.0,212.0,0.7728245045552739,9.518182516098022,11280.0
craftdroid,atm,googleplay,glove,146.0,196.0,205.0,208.0,212.0,0.8168389051873214,6.242208003997803,3126.0
custom,union,googleplay,glove,150.0,189.0,200.0,210.0,214.0,0.811405311631556,16.81944990158081,43896.0
custom,intersection,googleplay,glove,145.0,193.0,202.0,210.0,215.0,0.8164691517632695,12.202458620071411,12387.0
custom,craftdroid,googleplay,glove,140.0,196.0,203.0,209.0,213.0,0.8075544697517014,15.491687059402466,40861.0
custom,atm,googleplay,glove,153.0,195.0,203.0,209.0,216.0,0.8265515530221412,12.244413137435913,13789.0
atm_0,union,googleplay,glove,112.0,161.0,192.0,197.0,201.0,0.7026238186790126,27.920317888259888,42756.0
atm_0,intersection,googleplay,glove,136.0,195.0,205.0,211.0,216.0,0.7999953072102948,9.025883913040161,12661.0
atm_0,craftdroid,googleplay,glove,114.0,164.0,190.0,193.0,201.0,0.7091424446967438,20.647913455963135,41197.0
atm_0,atm,googleplay,glove,138.0,194.0,204.0,211.0,216.0,0.7977060803108785,15.522621154785156,13325.0
craftdroid,union,android,fast,122.0,181.0,199.0,206.0,210.0,0.7400032157385098,20.192225217819214,6729.0
craftdroid,intersection,android,fast,141.0,191.0,201.0,207.0,212.0,0.8046347443406268,7.029613733291626,1596.0
craftdroid,craftdroid,android,fast,112.0,178.0,197.0,203.0,208.0,0.7201529679470857,10.651051044464111,6727.0
craftdroid,atm,android,fast,147.0,197.0,206.0,210.0,213.0,0.8229820832762008,7.162675380706787,1598.0
custom,union,android,fast,143.0,185.0,198.0,207.0,212.0,0.789341540812129,18.45712900161743,23188.0
custom,intersection,android,fast,140.0,190.0,201.0,205.0,212.0,0.8003674785004711,12.70724081993103,7736.0
custom,craftdroid,android,fast,123.0,183.0,195.0,206.0,213.0,0.752771738065856,18.587001085281372,22280.0
custom,atm,android,fast,152.0,195.0,203.0,209.0,213.0,0.8223616607887707,12.995076179504395,8148.0
atm_0,union,android,fast,99.0,143.0,183.0,197.0,204.0,0.6610020195993053,34.75697183609009,22877.0
atm_0,intersection,android,fast,131.0,193.0,205.0,207.0,211.0,0.7867682233971829,9.808022499084473,7854.0
atm_0,craftdroid,android,fast,102.0,154.0,185.0,196.0,204.0,0.6793892654900039,23.100070476531982,22407.0
atm_0,atm,android,fast,128.0,189.0,201.0,206.0,210.0,0.7687928436570974,16.530733585357666,8171.0
craftdroid,union,blogs,fast,131.0,190.0,204.0,206.0,211.0,0.7671175229998759,62.64600372314453,21.0
craftdroid,intersection,blogs,fast,141.0,195.0,208.0,211.0,215.0,0.8112359046182576,6.935646295547485,21.0
craftdroid,craftdroid,blogs,fast,129.0,189.0,203.0,205.0,211.0,0.7695810725222489,10.386583089828491,21.0
craftdroid,atm,blogs,fast,148.0,197.0,209.0,212.0,215.0,0.820838720103426,6.472148895263672,21.0
custom,union,blogs,fast,146.0,190.0,204.0,211.0,213.0,0.8029654985537339,19.128435850143433,210.0
custom,intersection,blogs,fast,147.0,198.0,206.0,210.0,216.0,0.8283642741847076,12.320961952209473,112.0
custom,craftdroid,blogs,fast,130.0,194.0,205.0,210.0,213.0,0.7839332236391059,17.51184844970703,160.0
custom,atm,blogs,fast,158.0,197.0,207.0,210.0,216.0,0.8403354729206123,12.821491003036499,155.0
atm_0,union,blogs,fast,101.0,148.0,185.0,193.0,201.0,0.6621692660401158,29.724725246429443,206.0
atm_0,intersection,blogs,fast,134.0,194.0,205.0,207.0,213.0,0.7936702049383995,9.384670972824097,112.0
atm_0,craftdroid,blogs,fast,111.0,157.0,185.0,190.0,200.0,0.6930422973833607,22.611308574676514,160.0
atm_0,atm,blogs,fast,131.0,191.0,204.0,210.0,213.0,0.7780594399589803,16.230786561965942,151.0
