algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,intersection,standard,nnlm,4.0,6.0,8.0,8.0,8.0,0.22854189680444553,18.441595792770386,7001.0
atm_0,craftdroid,standard,nnlm,0.0,2.0,5.0,7.0,7.0,0.14045784778609693,32.4227249622345,1443.0
atm_0,atm,standard,nnlm,4.0,6.0,8.0,8.0,8.0,0.22854189680444553,24.447030782699585,7001.0
craftdroid,union,standard,use,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,50.21451139450073,46.0
craftdroid,intersection,standard,use,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,18.86222815513611,46.0
craftdroid,craftdroid,standard,use,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,35.987512826919556,46.0
craftdroid,atm,standard,use,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,18.740498065948486,46.0
custom,union,standard,use,5.0,6.0,6.0,8.0,9.0,0.24642400036801967,23.29212498664856,0.0
custom,intersection,standard,use,5.0,6.0,6.0,6.0,8.0,0.23738183858293632,21.110947132110596,541.0
custom,craftdroid,standard,use,5.0,6.0,6.0,8.0,9.0,0.24642400036801967,22.799726247787476,0.0
custom,atm,standard,use,5.0,6.0,6.0,6.0,8.0,0.23738183858293632,20.428483247756958,541.0
atm_0,union,standard,use,1.0,3.0,6.0,8.0,8.0,0.17127919935840571,73.64527440071106,1310.0
atm_0,intersection,standard,use,4.0,6.0,7.0,8.0,8.0,0.2291832498768474,47.741446018218994,5697.0
atm_0,craftdroid,standard,use,1.0,3.0,6.0,8.0,8.0,0.17127919935840571,70.25567531585693,1310.0
atm_0,atm,standard,use,4.0,6.0,7.0,8.0,8.0,0.2291832498768474,52.13620185852051,5697.0
craftdroid,union,android,glove,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,6.6475629806518555,165619.0
craftdroid,intersection,android,glove,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,4.131685972213745,78533.0
craftdroid,craftdroid,android,glove,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,6.678635835647583,165619.0
craftdroid,atm,android,glove,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,8.588813543319702,78533.0
custom,union,android,glove,2.0,5.0,7.0,8.0,9.0,0.20291842728478676,12.26787281036377,375166.0
custom,intersection,android,glove,2.0,5.0,6.0,7.0,7.0,0.18726527545931346,6.848489999771118,99421.0
custom,craftdroid,android,glove,2.0,5.0,7.0,8.0,9.0,0.20291842728478676,12.625869750976562,375166.0
custom,atm,android,glove,2.0,5.0,6.0,7.0,7.0,0.18726527545931346,7.762287616729736,99421.0
atm_0,union,android,glove,2.0,4.0,4.0,5.0,5.0,0.16673522196832688,19.34404468536377,375166.0
atm_0,intersection,android,glove,0.0,3.0,4.0,6.0,6.0,0.1280267831894662,5.651326656341553,99421.0
