algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,union,blogs,w2v,3.0,3.0,4.0,5.0,7.0,0.1725895539217468,24.597153902053833,288801.0
atm_0,intersection,blogs,w2v,2.0,4.0,6.0,8.0,8.0,0.17893620279396782,7.671539306640625,77501.0
atm_0,craftdroid,blogs,w2v,3.0,3.0,4.0,5.0,7.0,0.1725895539217468,20.34161949157715,288801.0
atm_0,atm,blogs,w2v,2.0,4.0,6.0,8.0,8.0,0.17893620279396782,12.295560121536255,77501.0
craftdroid,union,standard,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,52.982481718063354,134363.0
craftdroid,intersection,standard,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,4.855535268783569,64476.0
craftdroid,craftdroid,standard,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,9.172439098358154,134363.0
craftdroid,atm,standard,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.776514768600464,64476.0
custom,union,standard,w2v,4.0,4.0,4.0,7.0,8.0,0.21167289051452584,15.629912853240967,312299.0
custom,intersection,standard,w2v,3.0,5.0,7.0,11.0,12.0,0.2369239605423816,9.076237916946411,84440.0
custom,craftdroid,standard,w2v,4.0,4.0,4.0,7.0,8.0,0.21167289051452584,15.795604705810547,312299.0
custom,atm,standard,w2v,3.0,5.0,7.0,11.0,12.0,0.2369239605423816,9.004739999771118,84440.0
atm_0,union,standard,w2v,4.0,4.0,6.0,8.0,9.0,0.22475523555617646,24.166351318359375,312299.0
atm_0,intersection,standard,w2v,2.0,7.0,9.0,9.0,9.0,0.2188269524028003,6.764913082122803,84440.0
atm_0,craftdroid,standard,w2v,4.0,4.0,6.0,8.0,9.0,0.22475523555617646,20.29567790031433,312299.0
atm_0,atm,standard,w2v,2.0,7.0,9.0,9.0,9.0,0.2188269524028003,12.02257490158081,84440.0
craftdroid,union,googleplay,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,30.440226554870605,84436.0
craftdroid,intersection,googleplay,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.101197004318237,38455.0
craftdroid,craftdroid,googleplay,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,9.541978597640991,84436.0
craftdroid,atm,googleplay,w2v,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.131241321563721,38455.0
custom,union,googleplay,w2v,3.0,4.0,5.0,6.0,8.0,0.19662723479751512,17.560900688171387,187595.0
custom,intersection,googleplay,w2v,3.0,4.0,5.0,11.0,11.0,0.21332887185565755,9.00637698173523,48328.0
custom,craftdroid,googleplay,w2v,3.0,4.0,5.0,6.0,8.0,0.19662723479751512,17.133035898208618,187595.0
custom,atm,googleplay,w2v,3.0,4.0,5.0,11.0,11.0,0.21332887185565755,9.39030647277832,48328.0
atm_0,union,googleplay,w2v,3.0,4.0,5.0,5.0,6.0,0.1873008990408898,25.490443229675293,187595.0
atm_0,intersection,googleplay,w2v,2.0,3.0,3.0,6.0,6.0,0.14805836759732555,7.31582236289978,48328.0
atm_0,craftdroid,googleplay,w2v,3.0,4.0,5.0,5.0,6.0,0.1873008990408898,20.941487312316895,187595.0
atm_0,atm,googleplay,w2v,2.0,3.0,3.0,6.0,6.0,0.14805836759732555,12.621669054031372,48328.0
craftdroid,union,standard,nnlm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,27.55122423171997,550.0
craftdroid,intersection,standard,nnlm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,14.961276769638062,550.0
craftdroid,craftdroid,standard,nnlm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,23.63620948791504,550.0
craftdroid,atm,standard,nnlm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,15.33942198753357,550.0
custom,union,standard,nnlm,5.0,5.0,7.0,8.0,8.0,0.239785690221467,14.61189579963684,0.0
custom,intersection,standard,nnlm,5.0,6.0,8.0,8.0,10.0,0.2513284423799744,15.053207874298096,282.0
custom,craftdroid,standard,nnlm,5.0,5.0,7.0,8.0,8.0,0.239785690221467,14.774360418319702,0.0
custom,atm,standard,nnlm,5.0,6.0,8.0,8.0,10.0,0.2513284423799744,14.566515445709229,282.0
atm_0,union,standard,nnlm,2.0,4.0,8.0,9.0,9.0,0.2050273129774954,52.060351848602295,1789.0
atm_0,intersection,standard,nnlm,6.0,7.0,9.0,11.0,11.0,0.2952581864251238,31.300058126449585,5077.0
atm_0,craftdroid,standard,nnlm,2.0,4.0,8.0,9.0,9.0,0.2050273129774954,38.26435303688049,1789.0
atm_0,atm,standard,nnlm,6.0,7.0,9.0,11.0,11.0,0.2952581864251238,39.190035581588745,5077.0
craftdroid,union,standard,use,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,68.21732950210571,84.0
craftdroid,intersection,standard,use,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,34.25728940963745,84.0
craftdroid,craftdroid,standard,use,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,55.49320363998413,84.0
craftdroid,atm,standard,use,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,34.83562207221985,84.0
custom,union,standard,use,7.0,7.0,7.0,9.0,10.0,0.29797287973581543,27.885849952697754,0.0
custom,intersection,standard,use,6.0,6.0,9.0,10.0,10.0,0.28394885549959537,27.630206823349,486.0
custom,craftdroid,standard,use,7.0,7.0,7.0,9.0,10.0,0.29797287973581543,27.49654483795166,0.0
custom,atm,standard,use,6.0,6.0,9.0,10.0,10.0,0.28394885549959537,27.767947912216187,486.0
atm_0,union,standard,use,3.0,5.0,7.0,8.0,8.0,0.21286406403513972,89.34322619438171,1685.0
atm_0,intersection,standard,use,6.0,7.0,8.0,9.0,11.0,0.2912390823388291,78.98145842552185,3930.0
atm_0,craftdroid,standard,use,3.0,5.0,7.0,8.0,8.0,0.21286406403513972,82.67011427879333,1685.0
